"Enabled","Использовать"
"Main Setting","Основные настройки"
"Popup width","Ширина окна"
"Popup height","Высота окна"
"Use Extension (Yes/No)"," Вкл. расширение (Да/Нет)"
"Use (Yes/No)","Вкл. сервис (Да/Нет)"
"Application ID","ID приложения"
"Application Public","Открытый ключ приложения"
"Application Secret word for API","Секретный ключ приложения"
"Setting service VK.com","Настройки для Vk.com"
"Setting service Mail.ru","Настройки для Mail.ru"
"Setting service Odnoklassniki.ru","Настройки для Odnoklassniki.ru"
"Setting service YA.ru","Настройки для YA.ru"
"Setting service Facebook.com","Настройки для Facebook.com"
"Setting service Google.com","Настройки для Google.com"
"Unable to complete the request because the user was not authenticated.","Невозможно выполнить запрос, так как пользователь не прошел проверку подлинности"
"Invalid authenticate.","Ошибка аутентификации"
"Thanks for subscriber","Спасибо за подписку"
"Update RuMage OAuth","Вы можете подписаться на обновления прямо сейчас"
"Yes","Да"
"No","Нет"
"Input valid email","Введите существующий e-mail для Вашего аккаунта."
